Repeticao,Parcela,Velocidade(KM/h),DS(cm),Classificação
4,57,1.08,4.69,Aceitável
4,58,1.08,11.11,Aceitável
4,59,1.08,5.83,Aceitável
4,60,1.08,8.44,Aceitável
4,61,1.08,3.95,Duplo
4,62,1.08,6.38,Aceitável
4,63,1.08,11.31,Aceitável
4,64,1.08,11.41,Aceitável
4,65,1.08,1.87,Duplo
4,66,1.08,4.88,Aceitável
4,67,1.08,11.14,Aceitável
4,68,1.08,6.96,Aceitável
4,69,1.08,9.21,Aceitável
4,70,1.08,1.99,Duplo
4,71,1.08,5.42,Aceitável
4,72,1.08,8.44,Aceitável
4,73,1.08,3.10,Duplo
4,74,1.08,6.22,Aceitável
4,75,1.08,6.93,Aceitável
4,76,1.08,5.45,Aceitável
4,77,1.08,2.62,Duplo
4,78,1.08,10.72,Aceitável
4,79,1.08,12.41,Aceitável
4,80,1.08,6.17,Aceitável
4,81,1.08,9.90,Aceitável
4,82,1.08,9.80,Aceitável
4,83,1.08,7.56,Aceitável
4,84,1.08,1.68,Duplo
4,85,1.08,6.22,Aceitável
4,86,1.08,4.65,Aceitável
4,87,1.08,8.45,Aceitável
4,88,1.08,9.79,Aceitável
4,89,1.08,4.31,Duplo
4,90,1.08,4.82,Aceitável
4,91,1.08,4.35,Duplo
4,92,1.08,5.98,Aceitável
4,93,1.08,1.62,Duplo
4,94,1.08,5.42,Aceitável
4,95,1.08,9.98,Aceitável
4,96,1.08,6.08,Aceitável
4,97,1.08,6.37,Aceitável
4,98,1.08,3.05,Duplo
4,99,1.08,9.75,Aceitável
4,100,1.08,9.80,Aceitável
4,101,1.08,6.06,Aceitável
4,102,1.08,5.54,Aceitável
4,103,1.08,3.39,Duplo
4,104,1.08,9.54,Aceitável
4,105,1.08,8.84,Aceitável
4,106,1.08,4.01,Duplo
4,107,1.08,8.18,Aceitável
4,108,1.08,9.72,Aceitável
4,109,1.08,8.97,Aceitável
4,110,1.08,4.84,Aceitável
4,111,1.08,1.70,Duplo
4,112,1.08,9.06,Aceitável
4,113,1.08,5.98,Aceitável
4,114,1.08,6.25,Aceitável
4,115,1.08,4.98,Aceitável
4,116,1.08,4.43,Duplo
4,117,1.08,4.57,Aceitável
4,118,1.08,2.36,Duplo
4,119,1.08,7.74,Aceitável
4,120,1.08,5.17,Aceitável
1,1,3.2,7.31,Aceitável
1,2,3.2,11.15,Aceitável
1,3,3.2,11.39,Aceitável
1,4,3.2,12.50,Aceitável
1,5,3.2,9.88,Aceitável
1,6,3.2,10.58,Aceitável
1,7,3.2,10.93,Aceitável
1,8,3.2,3.04,Duplo
1,9,3.2,7.83,Aceitável
1,10,3.2,12.19,Aceitável
1,11,3.2,9.49,Aceitável
1,12,3.2,8.81,Aceitável
1,13,3.2,12.48,Aceitável
1,14,3.2,3.34,Duplo
1,15,3.2,7.82,Aceitável
1,16,3.2,13.07,Aceitável
1,17,3.2,7.29,Aceitável
1,18,3.2,6.33,Aceitável
1,19,3.2,8.70,Aceitável
1,20,3.2,7.69,Aceitável
1,21,3.2,3.39,Duplo
1,22,3.2,4.81,Aceitável
1,23,3.2,11.80,Aceitável
1,24,3.2,3.26,Duplo
1,25,3.2,4.65,Aceitável
1,26,3.2,13.95,Nulo
1,27,3.2,9.87,Aceitável
1,28,3.2,12.02,Aceitável
1,29,3.2,9.31,Aceitável
1,30,3.2,3.01,Duplo
1,31,3.2,8.85,Aceitável
1,32,3.2,3.69,Duplo
1,33,3.2,8.53,Aceitável
1,34,3.2,3.43,Duplo
1,35,3.2,12.57,Aceitável
1,36,3.2,4.59,Aceitável
1,37,3.2,8.92,Aceitável
1,38,3.2,3.98,Duplo
1,39,3.2,2.58,Duplo
1,40,3.2,10.33,Aceitável
1,41,3.2,12.53,Aceitável
1,42,3.2,4.28,Duplo
1,43,3.2,9.73,Aceitável
1,44,3.2,2.71,Duplo
1,45,3.2,5.77,Aceitável
1,46,3.2,8.49,Aceitável
1,47,3.2,9.53,Aceitável
1,48,3.2,12.69,Aceitável
1,49,3.2,13.78,Nulo
1,50,3.2,9.91,Aceitável
1,51,3.2,13.85,Nulo
1,52,3.2,4.75,Aceitável
1,53,3.2,13.50,Nulo
1,54,3.2,5.09,Aceitável
1,55,3.2,12.53,Aceitável
1,56,3.2,3.46,Duplo
1,57,3.2,5.42,Aceitável
1,58,3.2,6.70,Aceitável
1,59,3.2,8.29,Aceitável
1,60,3.2,13.05,Aceitável
1,61,3.2,10.97,Aceitável
1,62,3.2,7.27,Aceitável
1,63,3.2,11.71,Aceitável
1,64,3.2,11.41,Aceitável
1,65,3.2,12.72,Aceitável
1,66,3.2,6.54,Aceitável
1,67,3.2,10.20,Aceitável
1,68,3.2,4.13,Duplo
1,69,3.2,12.66,Aceitável
1,70,3.2,13.59,Nulo
1,71,3.2,3.55,Duplo
1,72,3.2,5.02,Aceitável
1,73,3.2,12.42,Aceitável
1,74,3.2,4.02,Duplo
1,75,3.2,11.13,Aceitável
1,76,3.2,12.96,Aceitável
1,77,3.2,13.18,Aceitável
1,78,3.2,3.41,Duplo
1,79,3.2,2.85,Duplo
1,80,3.2,12.01,Aceitável
1,81,3.2,5.09,Aceitável
1,82,3.2,12.88,Aceitável
1,83,3.2,5.49,Aceitável
1,84,3.2,10.61,Aceitável
1,85,3.2,13.12,Aceitável
1,86,3.2,4.45,Duplo
1,87,3.2,8.26,Aceitável
1,88,3.2,4.43,Duplo
1,89,3.2,2.69,Duplo
1,90,3.2,10.72,Aceitável
1,91,3.2,10.89,Aceitável
1,92,3.2,12.71,Aceitável
1,93,3.2,4.89,Aceitável
1,94,3.2,13.06,Aceitável
1,95,3.2,9.03,Aceitável
1,96,3.2,13.84,Nulo
1,97,3.2,13.93,Nulo
1,98,3.2,12.71,Aceitável
1,99,3.2,11.39,Aceitável
1,100,3.2,14.13,Nulo
1,101,3.2,10.73,Aceitável
1,102,3.2,3.00,Duplo
1,103,3.2,9.66,Aceitável
1,104,3.2,10.20,Aceitável
1,105,3.2,10.27,Aceitável
1,106,3.2,13.43,Aceitável
1,107,3.2,10.24,Aceitável
1,108,3.2,14.44,Nulo
1,109,3.2,2.91,Duplo
1,110,3.2,10.43,Aceitável
1,111,3.2,11.28,Aceitável
1,112,3.2,9.45,Aceitável
1,113,3.2,2.87,Duplo
1,114,3.2,14.19,Nulo
1,115,3.2,7.96,Aceitável
1,116,3.2,12.53,Aceitável
1,117,3.2,12.02,Aceitável
1,118,3.2,4.17,Duplo
1,119,3.2,6.11,Aceitável
1,120,3.2,10.12,Aceitável
2,1,3.2,11.05,Aceitável
2,2,3.2,9.51,Aceitável
2,3,3.2,10.60,Aceitável
2,4,3.2,14.24,Nulo
2,5,3.2,11.09,Aceitável
2,6,3.2,9.49,Aceitável
2,7,3.2,2.70,Duplo
2,8,3.2,9.51,Aceitável
2,9,3.2,6.83,Aceitável
2,10,3.2,9.08,Aceitável
2,11,3.2,11.10,Aceitável
2,12,3.2,5.35,Aceitável
2,13,3.2,10.95,Aceitável
2,14,3.2,7.55,Aceitável
2,15,3.2,6.09,Aceitável
2,16,3.2,9.15,Aceitável
2,17,3.2,4.28,Duplo
2,18,3.2,6.77,Aceitável
2,19,3.2,13.81,Nulo
2,20,3.2,6.18,Aceitável
2,21,3.2,8.47,Aceitável
2,22,3.2,14.15,Nulo
2,23,3.2,6.12,Aceitável
2,24,3.2,7.80,Aceitável
2,25,3.2,12.10,Aceitável
2,26,3.2,4.47,Duplo
2,27,3.2,10.47,Aceitável
2,28,3.2,5.15,Aceitável
2,29,3.2,8.22,Aceitável
2,30,3.2,6.81,Aceitável
2,31,3.2,5.82,Aceitável
2,32,3.2,9.49,Aceitável
2,33,3.2,4.48,Duplo
2,34,3.2,5.91,Aceitável
2,35,3.2,3.08,Duplo
2,36,3.2,3.53,Duplo
2,37,3.2,11.36,Aceitável
2,38,3.2,2.50,Duplo
2,39,3.2,7.12,Aceitável
2,40,3.2,14.42,Nulo
2,41,3.2,14.49,Nulo
2,42,3.2,9.08,Aceitável
2,43,3.2,3.40,Duplo
2,44,3.2,3.75,Duplo
2,45,3.2,7.56,Aceitável
2,46,3.2,5.57,Aceitável
2,47,3.2,12.01,Aceitável
2,48,3.2,5.47,Aceitável
2,49,3.2,6.18,Aceitável
2,50,3.2,14.00,Nulo
2,51,3.2,7.99,Aceitável
2,52,3.2,2.77,Duplo
2,53,3.2,5.30,Aceitável
2,54,3.2,7.00,Aceitável
2,55,3.2,3.49,Duplo
2,56,3.2,12.36,Aceitável
2,57,3.2,12.42,Aceitável
2,58,3.2,12.32,Aceitável
2,59,3.2,12.61,Aceitável
2,60,3.2,6.13,Aceitável
2,61,3.2,12.06,Aceitável
2,62,3.2,6.05,Aceitável
2,63,3.2,8.45,Aceitável
2,64,3.2,5.90,Aceitável
2,65,3.2,4.07,Duplo
2,66,3.2,4.22,Duplo
2,67,3.2,8.85,Aceitável
2,68,3.2,4.43,Duplo
2,69,3.2,11.65,Aceitável
2,70,3.2,12.33,Aceitável
2,71,3.2,11.44,Aceitável
2,72,3.2,4.63,Aceitável
2,73,3.2,5.46,Aceitável
2,74,3.2,2.78,Duplo
2,75,3.2,11.26,Aceitável
2,76,3.2,9.57,Aceitável
2,77,3.2,7.99,Aceitável
2,78,3.2,10.71,Aceitável
